id,ip,layer,mac,dpid
18_15_29,10.18.15.29,3,00:00:00:12:0f:1d,0000000000120f1d
18_15_28,10.18.15.28,3,00:00:00:12:0f:1c,0000000000120f1c
23_13_27,10.23.13.27,3,00:00:00:17:0d:1b,0000000000170d1b
23_13_26,10.23.13.26,3,00:00:00:17:0d:1a,0000000000170d1a
23_13_21,10.23.13.21,3,00:00:00:17:0d:15,0000000000170d15
23_13_20,10.23.13.20,3,00:00:00:17:0d:14,0000000000170d14
23_13_23,10.23.13.23,3,00:00:00:17:0d:17,0000000000170d17
23_13_22,10.23.13.22,3,00:00:00:17:0d:16,0000000000170d16
18_15_21,10.18.15.21,3,00:00:00:12:0f:15,0000000000120f15
18_15_20,10.18.15.20,3,00:00:00:12:0f:14,0000000000120f14
18_15_23,10.18.15.23,3,00:00:00:12:0f:17,0000000000120f17
18_15_22,10.18.15.22,3,00:00:00:12:0f:16,0000000000120f16
18_15_25,10.18.15.25,3,00:00:00:12:0f:19,0000000000120f19
18_15_24,10.18.15.24,3,00:00:00:12:0f:18,0000000000120f18
18_15_27,10.18.15.27,3,00:00:00:12:0f:1b,0000000000120f1b
18_15_26,10.18.15.26,3,00:00:00:12:0f:1a,0000000000120f1a
31_17_28,10.31.17.28,3,00:00:00:1f:11:1c,00000000001f111c
30_8_9,10.30.8.9,3,00:00:00:1e:08:09,00000000001e0809
30_8_8,10.30.8.8,3,00:00:00:1e:08:08,00000000001e0808
30_8_7,10.30.8.7,3,00:00:00:1e:08:07,00000000001e0807
30_8_6,10.30.8.6,3,00:00:00:1e:08:06,00000000001e0806
30_8_5,10.30.8.5,3,00:00:00:1e:08:05,00000000001e0805
30_8_4,10.30.8.4,3,00:00:00:1e:08:04,00000000001e0804
30_8_3,10.30.8.3,3,00:00:00:1e:08:03,00000000001e0803
30_8_2,10.30.8.2,3,00:00:00:1e:08:02,00000000001e0802
63_2_32,10.63.2.32,3,00:00:00:3f:02:20,00000000003f0220
54_6_25,10.54.6.25,3,00:00:00:36:06:19,0000000000360619
54_30_17,10.54.30.17,3,00:00:00:36:1e:11,0000000000361e11
54_6_22,10.54.6.22,3,00:00:00:36:06:16,0000000000360616
50_31_10,10.50.31.10,3,00:00:00:32:1f:0a,0000000000321f0a
54_6_23,10.54.6.23,3,00:00:00:36:06:17,0000000000360617
53_7_20,10.53.7.20,3,00:00:00:35:07:14,0000000000350714
54_6_20,10.54.6.20,3,00:00:00:36:06:14,0000000000360614
54_6_21,10.54.6.21,3,00:00:00:36:06:15,0000000000360615
58_6_3,10.58.6.3,3,00:00:00:3a:06:03,00000000003a0603
54_30_16,10.54.30.16,3,00:00:00:36:1e:10,0000000000361e10
51_27_8,10.51.27.8,3,00:00:00:33:1b:08,0000000000331b08
23_13_29,10.23.13.29,3,00:00:00:17:0d:1d,0000000000170d1d
36_31_3,10.36.31.3,3,00:00:00:24:1f:03,0000000000241f03
23_13_28,10.23.13.28,3,00:00:00:17:0d:1c,0000000000170d1c
42_0_29,10.42.0.29,3,00:00:00:2a:00:1d,00000000002a001d
42_0_28,10.42.0.28,3,00:00:00:2a:00:1c,00000000002a001c
42_0_23,10.42.0.23,3,00:00:00:2a:00:17,00000000002a0017
42_0_22,10.42.0.22,3,00:00:00:2a:00:16,00000000002a0016
42_0_21,10.42.0.21,3,00:00:00:2a:00:15,00000000002a0015
42_0_20,10.42.0.20,3,00:00:00:2a:00:14,00000000002a0014
42_0_27,10.42.0.27,3,00:00:00:2a:00:1b,00000000002a001b
42_0_26,10.42.0.26,3,00:00:00:2a:00:1a,00000000002a001a
42_0_25,10.42.0.25,3,00:00:00:2a:00:19,00000000002a0019
37_22_30,10.37.22.30,3,00:00:00:25:16:1e,000000000025161e
37_26_8,10.37.26.8,3,00:00:00:25:1a:08,0000000000251a08
51_27_9,10.51.27.9,3,00:00:00:33:1b:09,0000000000331b09
53_7_22,10.53.7.22,3,00:00:00:35:07:16,0000000000350716
33_30_25,10.33.30.25,3,00:00:00:21:1e:19,0000000000211e19
33_30_24,10.33.30.24,3,00:00:00:21:1e:18,0000000000211e18
33_30_27,10.33.30.27,3,00:00:00:21:1e:1b,0000000000211e1b
33_30_26,10.33.30.26,3,00:00:00:21:1e:1a,0000000000211e1a
33_30_21,10.33.30.21,3,00:00:00:21:1e:15,0000000000211e15
33_30_20,10.33.30.20,3,00:00:00:21:1e:14,0000000000211e14
33_30_23,10.33.30.23,3,00:00:00:21:1e:17,0000000000211e17
33_30_22,10.33.30.22,3,00:00:00:21:1e:16,0000000000211e16
33_30_29,10.33.30.29,3,00:00:00:21:1e:1d,0000000000211e1d
33_30_28,10.33.30.28,3,00:00:00:21:1e:1c,0000000000211e1c
2_27_7,10.2.27.7,3,00:00:00:02:1b:07,0000000000021b07
2_27_6,10.2.27.6,3,00:00:00:02:1b:06,0000000000021b06
2_27_5,10.2.27.5,3,00:00:00:02:1b:05,0000000000021b05
2_27_4,10.2.27.4,3,00:00:00:02:1b:04,0000000000021b04
2_27_3,10.2.27.3,3,00:00:00:02:1b:03,0000000000021b03
2_27_2,10.2.27.2,3,00:00:00:02:1b:02,0000000000021b02
32_19_15,10.32.19.15,3,00:00:00:20:13:0f,000000000020130f
36_31_5,10.36.31.5,3,00:00:00:24:1f:05,0000000000241f05
62_1_25,10.62.1.25,3,00:00:00:3e:01:19,00000000003e0119
32_19_16,10.32.19.16,3,00:00:00:20:13:10,0000000000201310
2_27_9,10.2.27.9,3,00:00:00:02:1b:09,0000000000021b09
2_27_8,10.2.27.8,3,00:00:00:02:1b:08,0000000000021b08
32_19_17,10.32.19.17,3,00:00:00:20:13:11,0000000000201311
14_12_19,10.14.12.19,3,00:00:00:0e:0c:13,00000000000e0c13
14_12_18,10.14.12.18,3,00:00:00:0e:0c:12,00000000000e0c12
14_12_15,10.14.12.15,3,00:00:00:0e:0c:0f,00000000000e0c0f
14_12_14,10.14.12.14,3,00:00:00:0e:0c:0e,00000000000e0c0e
14_12_17,10.14.12.17,3,00:00:00:0e:0c:11,00000000000e0c11
14_12_16,10.14.12.16,3,00:00:00:0e:0c:10,00000000000e0c10
14_12_11,10.14.12.11,3,00:00:00:0e:0c:0b,00000000000e0c0b
14_12_10,10.14.12.10,3,00:00:00:0e:0c:0a,00000000000e0c0a
14_12_13,10.14.12.13,3,00:00:00:0e:0c:0d,00000000000e0c0d
14_12_12,10.14.12.12,3,00:00:00:0e:0c:0c,00000000000e0c0c
21_4_33,10.21.4.33,3,00:00:00:15:04:21,0000000000150421
21_4_32,10.21.4.32,3,00:00:00:15:04:20,0000000000150420
21_4_31,10.21.4.31,3,00:00:00:15:04:1f,000000000015041f
21_4_30,10.21.4.30,3,00:00:00:15:04:1e,000000000015041e
32_19_13,10.32.19.13,3,00:00:00:20:13:0d,000000000020130d
58_19_32,10.58.19.32,3,00:00:00:3a:13:20,00000000003a1320
58_19_33,10.58.19.33,3,00:00:00:3a:13:21,00000000003a1321
58_19_30,10.58.19.30,3,00:00:00:3a:13:1e,00000000003a131e
58_19_31,10.58.19.31,3,00:00:00:3a:13:1f,00000000003a131f
60_7_5,10.60.7.5,3,00:00:00:3c:07:05,00000000003c0705
57_17_11,10.57.17.11,3,00:00:00:39:11:0b,000000000039110b
14_10_13,10.14.10.13,3,00:00:00:0e:0a:0d,00000000000e0a0d
14_10_12,10.14.10.12,3,00:00:00:0e:0a:0c,00000000000e0a0c
14_10_11,10.14.10.11,3,00:00:00:0e:0a:0b,00000000000e0a0b
14_10_10,10.14.10.10,3,00:00:00:0e:0a:0a,00000000000e0a0a
14_10_17,10.14.10.17,3,00:00:00:0e:0a:11,00000000000e0a11
14_10_16,10.14.10.16,3,00:00:00:0e:0a:10,00000000000e0a10
14_10_15,10.14.10.15,3,00:00:00:0e:0a:0f,00000000000e0a0f
14_10_14,10.14.10.14,3,00:00:00:0e:0a:0e,00000000000e0a0e
39_14_29,10.39.14.29,3,00:00:00:27:0e:1d,0000000000270e1d
14_10_19,10.14.10.19,3,00:00:00:0e:0a:13,00000000000e0a13
14_10_18,10.14.10.18,3,00:00:00:0e:0a:12,00000000000e0a12
39_14_28,10.39.14.28,3,00:00:00:27:0e:1c,0000000000270e1c
27_30_19,10.27.30.19,3,00:00:00:1b:1e:13,00000000001b1e13
27_30_18,10.27.30.18,3,00:00:00:1b:1e:12,00000000001b1e12
28_11_9,10.28.11.9,3,00:00:00:1c:0b:09,00000000001c0b09
28_11_8,10.28.11.8,3,00:00:00:1c:0b:08,00000000001c0b08
27_30_13,10.27.30.13,3,00:00:00:1b:1e:0d,00000000001b1e0d
27_30_12,10.27.30.12,3,00:00:00:1b:1e:0c,00000000001b1e0c
