id,ip,layer,mac,dpid
9_5_4,10.9.5.4,3,00:00:00:09:05:04,0000000000090504
14_5_3,10.14.5.3,3,00:00:00:0e:05:03,00000000000e0503
13_1_3,10.13.1.3,3,00:00:00:0d:01:03,00000000000d0103
15_3_9,10.15.3.9,3,00:00:00:0f:03:09,00000000000f0309
13_6_3,10.13.6.3,3,00:00:00:0d:06:03,00000000000d0603
13_1_2,10.13.1.2,3,00:00:00:0d:01:02,00000000000d0102
10_2_9,10.10.2.9,3,00:00:00:0a:02:09,00000000000a0209
8_2_9,10.8.2.9,3,00:00:00:08:02:09,0000000000080209
8_2_8,10.8.2.8,3,00:00:00:08:02:08,0000000000080208
8_2_3,10.8.2.3,3,00:00:00:08:02:03,0000000000080203
8_2_2,10.8.2.2,3,00:00:00:08:02:02,0000000000080202
8_2_7,10.8.2.7,3,00:00:00:08:02:07,0000000000080207
8_2_6,10.8.2.6,3,00:00:00:08:02:06,0000000000080206
8_2_5,10.8.2.5,3,00:00:00:08:02:05,0000000000080205
8_2_4,10.8.2.4,3,00:00:00:08:02:04,0000000000080204
15_0_8,10.15.0.8,3,00:00:00:0f:00:08,00000000000f0008
11_3_8,10.11.3.8,3,00:00:00:0b:03:08,00000000000b0308
9_7_2,10.9.7.2,3,00:00:00:09:07:02,0000000000090702
13_1_9,10.13.1.9,3,00:00:00:0d:01:09,00000000000d0109
13_1_8,10.13.1.8,3,00:00:00:0d:01:08,00000000000d0108
9_5_9,10.9.5.9,3,00:00:00:09:05:09,0000000000090509
15_0_9,10.15.0.9,3,00:00:00:0f:00:09,00000000000f0009
9_5_8,10.9.5.8,3,00:00:00:09:05:08,0000000000090508
10_2_7,10.10.2.7,3,00:00:00:0a:02:07,00000000000a0207
10_2_6,10.10.2.6,3,00:00:00:0a:02:06,00000000000a0206
14_2_4,10.14.2.4,3,00:00:00:0e:02:04,00000000000e0204
9_6_8,10.9.6.8,3,00:00:00:09:06:08,0000000000090608
14_4_5,10.14.4.5,3,00:00:00:0e:04:05,00000000000e0405
14_2_7,10.14.2.7,3,00:00:00:0e:02:07,00000000000e0207
13_4_3,10.13.4.3,3,00:00:00:0d:04:03,00000000000d0403
14_2_6,10.14.2.6,3,00:00:00:0e:02:06,00000000000e0206
14_2_5,10.14.2.5,3,00:00:00:0e:02:05,00000000000e0205
5_1_3,10.5.1.3,3,00:00:00:05:01:03,0000000000050103
5_1_2,10.5.1.2,3,00:00:00:05:01:02,0000000000050102
5_1_5,10.5.1.5,3,00:00:00:05:01:05,0000000000050105
5_1_4,10.5.1.4,3,00:00:00:05:01:04,0000000000050104
5_1_7,10.5.1.7,3,00:00:00:05:01:07,0000000000050107
5_1_6,10.5.1.6,3,00:00:00:05:01:06,0000000000050106
5_1_9,10.5.1.9,3,00:00:00:05:01:09,0000000000050109
5_1_8,10.5.1.8,3,00:00:00:05:01:08,0000000000050108
9_5_3,10.9.5.3,3,00:00:00:09:05:03,0000000000090503
14_2_2,10.14.2.2,3,00:00:00:0e:02:02,00000000000e0202
5_3_7,10.5.3.7,3,00:00:00:05:03:07,0000000000050307
5_3_6,10.5.3.6,3,00:00:00:05:03:06,0000000000050306
5_3_5,10.5.3.5,3,00:00:00:05:03:05,0000000000050305
5_3_4,10.5.3.4,3,00:00:00:05:03:04,0000000000050304
5_3_3,10.5.3.3,3,00:00:00:05:03:03,0000000000050303
5_3_2,10.5.3.2,3,00:00:00:05:03:02,0000000000050302
15_0_4,10.15.0.4,3,00:00:00:0f:00:04,00000000000f0004
11_1_2,10.11.1.2,3,00:00:00:0b:01:02,00000000000b0102
5_3_9,10.5.3.9,3,00:00:00:05:03:09,0000000000050309
5_3_8,10.5.3.8,3,00:00:00:05:03:08,0000000000050308
5_5_5,10.5.5.5,3,00:00:00:05:05:05,0000000000050505
5_5_4,10.5.5.4,3,00:00:00:05:05:04,0000000000050504
5_5_7,10.5.5.7,3,00:00:00:05:05:07,0000000000050507
5_5_6,10.5.5.6,3,00:00:00:05:05:06,0000000000050506
15_0_6,10.15.0.6,3,00:00:00:0f:00:06,00000000000f0006
5_5_3,10.5.5.3,3,00:00:00:05:05:03,0000000000050503
5_5_2,10.5.5.2,3,00:00:00:05:05:02,0000000000050502
14_3_6,10.14.3.6,3,00:00:00:0e:03:06,00000000000e0306
15_0_7,10.15.0.7,3,00:00:00:0f:00:07,00000000000f0007
5_5_9,10.5.5.9,3,00:00:00:05:05:09,0000000000050509
5_5_8,10.5.5.8,3,00:00:00:05:05:08,0000000000050508
7_7_9,10.7.7.9,3,00:00:00:07:07:09,0000000000070709
7_7_8,10.7.7.8,3,00:00:00:07:07:08,0000000000070708
13_3_8,10.13.3.8,3,00:00:00:0d:03:08,00000000000d0308
11_1_9,10.11.1.9,3,00:00:00:0b:01:09,00000000000b0109
7_7_3,10.7.7.3,3,00:00:00:07:07:03,0000000000070703
7_7_2,10.7.7.2,3,00:00:00:07:07:02,0000000000070702
7_7_5,10.7.7.5,3,00:00:00:07:07:05,0000000000070705
7_7_4,10.7.7.4,3,00:00:00:07:07:04,0000000000070704
7_7_7,10.7.7.7,3,00:00:00:07:07:07,0000000000070707
7_7_6,10.7.7.6,3,00:00:00:07:07:06,0000000000070706
7_5_9,10.7.5.9,3,00:00:00:07:05:09,0000000000070509
7_5_8,10.7.5.8,3,00:00:00:07:05:08,0000000000070508
7_5_7,10.7.5.7,3,00:00:00:07:05:07,0000000000070507
7_5_6,10.7.5.6,3,00:00:00:07:05:06,0000000000070506
7_5_5,10.7.5.5,3,00:00:00:07:05:05,0000000000070505
7_5_4,10.7.5.4,3,00:00:00:07:05:04,0000000000070504
7_5_3,10.7.5.3,3,00:00:00:07:05:03,0000000000070503
7_5_2,10.7.5.2,3,00:00:00:07:05:02,0000000000070502
7_3_9,10.7.3.9,3,00:00:00:07:03:09,0000000000070309
7_3_8,10.7.3.8,3,00:00:00:07:03:08,0000000000070308
11_7_6,10.11.7.6,3,00:00:00:0b:07:06,00000000000b0706
